,Review,Sentiment
1089,The phone loads super!,1
1090,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
1091,Made very sturdy.,1
1092,Worked great!.,1
1093,The ear buds only play music in one ear.,0
1094,Dont waste your money...,0
1095,Will order from them again!,1
1096,If you plan to use this in a car forget about it.,0
1097,I found this product to be waaay too big.,0
1098,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
1099,I'm very disappointed with my decision.,0
1100,Integrated seamlessly with the Motorola RAZR phone.,1
1101,"Buyer Beware, you could flush money right down the toilet.",0
1102,Definitely a bargain.,1
1103,The price was very good and with the free shipping and all it was a good purchase.,1
1104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
1105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
1106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0
1107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
1108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
1109,I purcashed this for the car charger and it does not work.,0
1110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
1111,This phone is slim and light and the display is beautiful.,1
1112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
1113,"Great product, fast shipping!.",1
1114,Absolutely great.,1
1115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
1116,i got this phone around the end of may and i'm completely unhappy with it.,0
1117,It is very comfortable on the ear.,1
1118,It has been a winner for us.,1
1119,)Setup couldn't have been simpler.,1
1120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
1121,Could not get strong enough signal.,0
1122,Iam very pleased with my purchase.,1
1123,Bad Quality.,0
1124,Gets the job done.,1
1125,Great audio!.,1
1126,Basically the service was very bad.,0
1127,it did not work in my cell phone plug i am very up set with the charger!.,0
1128,"I've only had my bluetooth for a few weeks, but I really like it.",1
1129,The BT headset was such a disapoinment.,0
1130,It is so small and you don't even realize that it is there after a while of getting used to it.,1
1131,The accompanied software is almost brilliant.,1
1132,Headset works great & was packaged nicely to avoid any damage.,1
1133,!I definitly recommend!!,1
1134,Buyer--Be Very Careful!!!!!.,0
1135,The majority of the Logitech earbud headsets failed.,0
1136,Very good stuff for the price.,1
1137,My headset works just peachy-keen.,1
1138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
1139,Voice recognition is tremendous!,1
1140,What a waste.,0
1141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0
1142,I was not happy with this item.,0
1143,very disappointed.,0
1144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
1145,I got this phone on reccomendation from a relative and I'm glad I did.,1
1146,What a waste of time!,0
1147,Its reception is very very poor.,0
1148,Items stated as included from the description ARE NOT INCLUDED.,0
1149,"After 3 months, screen just went black all of a sudden.",0
1150,I Was Hoping for More.,0
1151,"Audio Quality is poor, very poor.",0
1152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
1153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1
1154,I've bought $5 wired headphones that sound better than these.,0
1155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
1156,"Nice quality build, unlike some cheap s*** out there.",1
1157,This item is fantastic and works perfectly!,1
1158,And I just love the colors!,1
1159,W810i is just SUPERB.,1
1160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
1161,Great charger.,1
1162,This is essentially a communications tool that does not communicate.,0
1163,Works like a charm; it work the same as the one I got with the phone.,1
1164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
1165,Great Value.,1
1166,Doesn't work at all.. I bougth it for my L7c and its not working.,0
1167,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1
1168,doesn't last long.,0
1169,One thing I hate is the mode set button at the side.,0
1170,EXCELLENT SERVICE!!!!!!!!.,1
1171,Thank you for wasting my money.,0
1172,How can that be?The audio quality is poor.,0
1173,The iGo chargers and tips are really great.,1
1174,The file browser offers all the options that one needs.Handsfree is great.,1
1175,Superb Phone on a Great Network.,1
1176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
1177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
1178,It only recognizes the Phone as its storage device.,0
1179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
1180,Don't buy this product.,0
1181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
1182,The sound quality is good and functionality is awesome.,1
1183,"I have this phone and it is a thorn in my side, I really abhor it.",0
1184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
1185,Incredible!.,1
1186,Design Flaw?.,0
1187,Great phone!.,1
1188,Waste of 13 bucks.,0
1189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0
1190,The replacement died in a few weeks.,0
1191,Any ring tone..Overall good phone to buy..,1
1192,Lately they have been extremely nice and helpful on the phone.,1
1193,I have had problems wit hit dropping signal and more.,0
1194,Not impressed.,0
1195,"Light weight, I hardly notice it is there.",1
1196,You'll love how thin it is.,1
1197,Bad Choice.,0
1198,The pleather case doesn't fit.,0
1199,"useless phone, simply deaf.",0
1200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1
1201,All in all I think it was a good investment.,1
1202,It makes very strange ticking noises before it ends the call.,0
1203,The best electronics of the available FM Transmitters.,1
1204,Battery lasts only a few hours.,0
1205,"great headset, very impressed - H500.",1
1206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
1207,I've had this for nearly 2 years and it has worked great for me.,1
1208,Good transmit audio.,1
1209,We are sending it back.,0
1210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
1211,"If you hate earbugs, avoid this phone by all means.",0
1212,Great price also!,1
1213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
1214,fast service.,1
1215,I would highly recommend this.,1
1216,I would recommend this.,1
1217,"I also didn't like the ""on"" button, it felt like it would crack with use.",0
1218,WORST PHONE EVER.,0
1219,I'm still infatuated with this phone.,1
1220,Freezes frequently4.,0
1221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
1222,"Simple, lightweight and great fit.",1
1223,"All in all, I'd expected a better consumer experience from Motorola.",0
1224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
1225,These are certainly very comfortable and functionality is decent.,1
1226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
1227,I'm a bit disappointed.,0
1228,"I have had this phone for over a year now, and I will tell you, its not that great.",0
1229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
1230,The battery is completely useless to me.,0
1231,What a big waste of time.,0
1232,Don't waste your $$$ on this one.,0
1233,Great sound and service.,1
1234,Really pleased with this product so far.,1
1235,One of my favorite purchases ever.,1
1236,best bluetooth on the market.,1
1237,Authentic leather with nice shine and comfort .I recommend you this case !!,1
1238,I was very excited to get this headset because I thought it was really cute.,1
1239,Do not make the same mistake as me.,0
1240,Big Disappointment with calendar sync.,0
1241,the phone was unusable and was not new.,0
1242,Worst Customer Service Ever.,0
1243,"No additional ear gels provided, and no instructions whatsoever.",0
1244,It defeats the purpose of a bluetooth headset.,0
1245,Worth every penny.,1
1246,Excellent wallet type phone case.,1
1247,Nice headphones for the price and they work great!,1
1248,Internet is excrutiatingly slow.,0
1249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
1250,"It's fits like a glove and is strong, secure, and durable.",1
1251,O my gosh the best phone I have ever had.,1
1252,It's very attractive and appears to be of good quality.,1
1253,I love all the features and form factor.,1
1254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
1255,poor quality and service.,0
1256,"The cable looks so thin and flimsy, it is scary.",0
1257,Great Earpiece.,1
1258,Excellent hands free tool.,1
1259,Great for using with your home stereo.,1
1260,Good product - incredible value.,1
1261,Only had this a month but it's worked flawlessly so far.,1
1262,Works great.,1
1263,Absolutel junk.,0
1264,THAT one didn't work either.,0
1265,Battery life is real good.,1
1266,Returned 8 hours later.,0
1267,It's a great item.,1
1268,Don't waste your money!.,0
1269,Love this headset!,1
1270,"Not only will it drain your player, but may also potentially fry it.",0
1271,Worked perfectly!,1
1272,Unreliable - I'm giving up.,0
1273,I gave it 5 stars because of the sound quality.,1
1274,Avoid this one if you can.,0
1275,Reversible plug works great.,1
1276,I wasted my little money with this earpiece.,0
1277,Very good phone.,1
1278,"Best of all is the rotating feature, very helpful.",1
1279,Comfort for our whole family.,1
1280,"Good product, good seller.",1
1281,I love this bluetooth!,1
1282,"First of all, it doesn't wear well.",0
1283,I am very impressed with this headset from Plantronics.,1
1284,I got it because it was so small and adorable.,1
1285,Great phone!.,1
1286,I wouldn't recommend buying this product.,0
1287,Piece of Junk.,0
1288,Poorly contstruct hinge.,0
1289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
1290,Great Phone.,1
1291,Don't buy it.,0
1292,Excellent Phone.,1
1293,DO NOT PURCHASE THIS PHONE.,0
1294,The voice recognition thru the handset is excellent.,1
1295,This is hands down the best phone I've ever had.,1
1296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
1297,This one works and was priced right.,1
1298,Customer service was terrible.,0
1299,Battery life still not long enough in Motorola Razor V3i.,0
1300,Sending it back.,0
1301,Now I know that I made a wise decision.,1
1302,Someone shouldve invented this sooner.,1
1303,Good price.,1
1304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
1305,I received it quickly and it works great!!,1
1306,Has been working great.,1
1307,"As many people complained, I found this headset's microphone was very weak.",0
1308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
1309,They do not care about the consumer one bit.,0
1310,"This is a good battery, and it got here really fast.",1
1311,The instruction manual is lacking.,0
1312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
1313,Phone now holds charge like it did when it was new.,1
1314,The battery is unreliable as well as the service use antena.,0
1315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
1316,We have gotten a lot of compliments on it.,1
1317,This is definitely a must have if your state does not allow cell phone usage while driving.,1
1318,I want my money back.,0
1319,I love this device.,1
1320,I am also very happy with the price.,1
1321,I ordered this product first and was unhappy with it immediately.,0
1322,The Ngage is still lacking in earbuds.,0
1323,I was able to do voice dialing in the car with no problem.,1
1324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
1325,"good item, low price.",1
1326,"However-the riingtones are not the best, and neither are the games.",0
1327,The plug did not work very well.,0
1328,AMAZON SUCKS.,0
1329,Rip off---- Over charge shipping.,0
1330,VERY comfortable.,1
1331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
1332,The reception is excellent!,1
1333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
1334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
1335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
1336,Obviously there is a problem with the adhesive.,0
1337,Very disappointing.,0
1338,"It was an inexpensive piece, but I would still have expected better quality.",0
1339,It is practically useless and did not add any kind of boost to my reception after I bought it.,0
1340,Excellent sound quality.,1
1341,Was not happy.,0
1342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
1343,New Battery works great in phone.,1
1344,Worst customer service.,0
1345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1
1346,Reception is terrible and full of static.,0
1347,Good audio quality.,1
1348,This little device has transformed my organizational capability and made my life a whole lot easier.,1
1349,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0
1350,Were JERKS on the phone.,0
1351,Works like a charm.. Works as advertised.,1
1352,"Comfortable, Nice Range, Good Battery Life.",1
1353,Their network coverage in Los Angeles is horrible.,0
1354,Excellent starter wireless headset.,0
1355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
1356,The only thing that I think could improve is the sound leaks out from the headset.,0
1357,"First off the reception sucks, I have never had more than 2 bars, ever.",0
1358,The phone gets EXTREMELY HOT!,0
1359,"The microphone also works well, but (according to people I have called) it applifies everything.",1
1360,Nice design and quality.,1
1361,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
1362,"It is light, easy to use, and has very clear reception and transmission.",1
1363,"bad fit, way too big.",0
1364,It definitely was not as good as my S11.,1
1365,awesome device.,1
1366,Waste of money.,0
1367,"I had ordered a motorola data cable, got a very well finished and working product.",1
1368,Love This Phone.,1
1369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
1370,"I'll be drivng along, and my headset starts ringing for no reason.",0
1371,Display is excellent and camera is as good as any from that year.,1
1372,Battery life is also great!,1
1373,The worst phone I've ever had.... Only had it for a few months.,0
1374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
1375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
1376,Protects the phone on all sides.,1
1377,This is a VERY average phone with bad battery life that operates on a weak network.,0
1378,"Clear Skype Calls, Long Battery Life, Long Range.",1
1379,Soyo technology sucks.,0
1380,Great Hands Free Device.,1
1381,"you can even take self portraits with the outside (exterior) display, very cool.",1
1382,Same problem as others have mentioned.,0
1383,After trying many many handsfree gadgets this is the one that finally works well.,1
1384,Magical Help.,1
1385,The worst piece of crap ever along with the Verizon customer service.,0
1386,Poor sound quality.,0
1387,The best phone in market :).,1
1388,It worked very well.,1
1389,The company shipped my product very promptly and it works well.,1
1390,Exactly what I wanted.,1
1391,The picture resolution is far below what other comparably-priced phones are offering today.,0
1392,This is a great deal.,1
1393,"Excellent product, I am very satisfied with the purchase.",1
1394,I highly recommend these and encourage people to give them a try.,1
1395,Better than you'd expect.,1
1396,"Using all earpieces, left or right, this thing will not stay on my ear.",0
1397,Great product and price.,1
1398,"Sounds good reasonably priced and effective, Its that simple !",1
1399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
1400,what a disappointment,0
1401,Very prompt service.,1
1402,Excellent product for the price.,1
1403,Very pleased with this headset.,1
1404,don't waste your money and time.,0
1405,I especially love the long battery life.,1
1406,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
1407,Works great.,1
1408,Plantronics Bluetooth Excelent Buy.,1
1409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
1410,I'll be looking for a new earpiece.,0
1411,I highly recommend this device to everyone!,1
1412,Jawbone Era is awesome too!,1
1413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
1414,After a year the battery went completely dead on my headset.,0
1415,"I have used several phone in two years, but this one is the best.",1
1416,An Awesome New Look For Fall 2000!.,1
1417,This is the first phone I've had that has been so cheaply made.,0
1418,"Att is not clear, sound is very distorted and you have to yell when you talk.",0
1419,The plastic breaks really easy on this clip.,0
1420,Price is good too.,1
1421,Don't make the same mistake I did.,0
1422,Oh and I forgot to also mention the weird color effect it has on your phone.,0
1423,I'm using it with an iriver SPINN (with case) and it fits fine.,1
1424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
1425,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
1426,"every thing on phone work perfectly, she like it.",1
1427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
1428,IT'S REALLY EASY.,1
1429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
1430,Fantastic earphones.,1
1431,It finds my cell phone right away when I enter the car.,1
1432,Low Quality.,0
1433,I highly recommend this modest priced cellular phone.,1
1434,But it does get better reception and clarity than any phone I've had before.,1
1435,Warning - Stay away.,0
1436,I wish I could return the unit and get back my money.,0
1437,Awsome Device Works Great!!.,1
1438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
1439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
1440,Very Displeased.,0
1441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
1442,They made this case too small and is very difficult to install.,0
1443,Restored my phone to like new performance.,1
1444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
1445,"I searched the Internet, and found this one to be the best value.",1
1446,Does not fit.,0
1447,Very happy with this product.,1
1448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
1449,There's really nothing bad I can say about this headset.,0
1450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
1451,Portable and it works.,1
1452,"My colleague & I now get great reception.A little expensive, but performance is great.",1
1453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
1454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
1455,Not good when wearing a hat or sunglasses.,0
1456,Timely shipment and quality product.,1
1457,Nice solid keyboard.,1
1458,Very well made and fits my Surefire GX2 perfectly.,1
1459,Horrible phone.,0
1460,BT50 battery junk!.,0
1461,We would recommend these to others.,1
1462,Cant get the software to work with my computer.,0
1463,Disappointed!.,0
1464,poor voice clarity.,0
1465,The battery works great!,1
1466,No buyers remorse on this one!.,0
1467,Very disappointed in AccessoryOne.,0
1468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
1469,"Looks great and is strong.""",1
1470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
1471,The update procedure is difficult and cumbersome.,0
1472,Disappointment.. I hate anything that goes in my ear.,0
1473,Great software for Motorolas.,1
1474,The delivery was on time.,1
1475,Very easy to use.,1
1476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0
1477,The volume switch rocketed out of the unit to a destination unknown.,0
1478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
1479,I'd like to return it.,0
1480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
1481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
1482,"After charging overnight, these batteries work great.",1
1483,You won't regret it!,1
1484,I love this phone!.,1
1485,A Disappointment.,0
1486,Its not user friendly.,0
1487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
1488,"Then I exchanged for the same phone, even that had the same problem.",0
1489,This results in the phone being either stuck at max volume or mute.,0
1490,This PDA rocks.,1
1491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
1492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
1493,I had Verizon 2 years ago and really liked their service.,1
1494,Pretty piece of junk.,0
1495,Plug was the wrong size.,0
1496,Works as described.,1
1497,Save your money.... I've had this item for 11 months now.,0
1498,Bad Purchase.,0
1499,WELL IM SATISFIED.,1
1500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1
1501,This battery is an excellent bargain!,1
1502,Defective crap.,0
1503,I would have given no star if I was able.,0
1504,I wear glasses and it fits fine with them.,1
1505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0
1506,I would not recommend this item to anyone.,0
1507,The holster that arrived did not match the photo in the ad.,0
1508,great...no problems at all!.,1
1509,"As an earlier review noted, plug in this charger and nothing happens.",0
1510,This frog phone charm is adorable and very eye catching.,1
1511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
1512,The sound is clear and the people I talk to on it are amazed at the quality too.,1
1513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
1514,"very good product, well made.",1
1515,Mobile Phone Tools are a must have.,1
1516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
1517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1
1518,The phone is sturdy and waterproof.,1
1519,I am not impressed with this and i would not recommend this item to anyone.,0
1520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
1521,Thanks again to Amazon for having the things I need for a good price!,1
1522,I ended up sliding it on the edge of my pants or back pockets instead.,1
1523,I had to go to a store and bought a new NOKIA phone which is working great.,1
1524,Works great!.,1
1525,REALLY UGLY.,0
1526,"horrible, had to switch 3 times.",0
1527,The noise shield is incrediable.,1
1528,No real improvement.,0
1529,Razr Battery - Good buy.,1
1530,Keep up the good work Amazon!!,1
1531,They refuse to refund or replace.,0
1532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
1533,So I basically threw my money out the window for nothing.,0
1534,Great case and price!,1
1535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
1536,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
1537,"Small, sleek, impressive looking, practical setup with ample storage in place.",1
1538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
1539,none of the new ones have ever quite worked properly.,0
1540,I am glad I purchased it.,1
1541,I've missed numerous calls because of this reason.,0
1542,"Perhaps my phone is defective, but people cannot hear me when I use this.",0
1543,Don't buy this product.,0
1544,"sucked, most of the stuff does not work with my phone.",0
1545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
1546,Worst software ever used.... If I could give this zero stars I would.,0
1547,Trying to make a call on these is an exercise in frustration.,0
1548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
1549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
1550,"I love the camera, it's really pretty good quality.",1
1551,Thank you for such great service.,1
1552,Its a total package.,1
1553,"The seller is very understanding and patient, I would definitely buy from them again.",1
1554,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0
1555,It's AGGRAVATING!,0
1556,Great product for the price!.,1
1557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
1558,Virgin Wireless rocks and so does this cheap little phone!,1
1559,"None of it works, just don't buy it.",0
1560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
1561,Please dont waste your money.,0
1562,"All in all, I'm quite satisfied with this purchase.",1
1563,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0
1564,Yet Plantronincs continues to use the same flawed charger design.,0
1565,Disapointing Results.,0
1566,Cumbersome design.,0
1567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
1568,Great Product.,1
1569,It's A PIECE OF CRAP!,0
1570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
1571,This fixes all the problems.,1
1572,Worst ever.,0
1573,I am very happy,1
1574,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1
1575,"I can barely ever hear on it and am constantly saying ""what?""",0
1576,The battery life is highly unacceptable.,0
1577,That company is a joke.,0
1578,It does everything the description said it would.,1
1579,Due to this happening on every call I was forced to stop using this headset.,0
1580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
1581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0
